,Accountable_Organization,Implementing_Organization,Award_Status,Award_Total_Estimated_Value,Award_Start_Date,Award_End_Date,Award_Transaction_Value,Award_Transaction_DAC_Purpose_Code,Award_Transaction_DAC_Purpose_Code_Name,Award_Transaction_US_Foreign_Assistance_Category,Year
3290,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-01-10,2017-09-30,837314.709999999,72040,Emergency food aid,Humanitarian Assistance,2013
3292,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2017-09-30,1.8,72010,Material relief assistance and services,Humanitarian Assistance,2012
3293,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-30,2017-09-30,600524.089999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
3294,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,10500000.0,2015-01-28,2017-09-30,699630.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3295,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,23124985.0,2015-10-01,2017-09-30,229178.63,72010,Material relief assistance and services,Humanitarian Assistance,2015
3297,U.S. Agency for International Development,"Development Transformations, Llc",Implementation,0.0,2014-10-01,2018-09-30,192760.06,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
3298,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,23475440.0,2015-09-01,2017-09-30,877658.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3299,U.S. Agency for International Development,U.S. Government - Department of State,Completion,0.0,2012-10-01,2017-09-30,56325.26,72010,Material relief assistance and services,Humanitarian Assistance,2012
3300,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,128501308.0,2013-01-07,2017-09-30,4000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
3301,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2014-10-01,2017-09-30,2211.67999999999,72010,Material relief assistance and services,Humanitarian Assistance,2014
3302,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,7005368.0,2013-10-01,2017-09-30,400000.0,72040,Emergency food aid,Humanitarian Assistance,2013
3303,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2015-10-01,2016-09-30,5281.06,43010,Multisector aid,Education and Social Services,2015
3304,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2017-09-30,500000.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
3305,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2014-09-30,4605.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
3306,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,28536.73,72010,Material relief assistance and services,Humanitarian Assistance,2015
3307,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,65000.0,2014-10-01,2018-09-30,7551.18,72010,Material relief assistance and services,Humanitarian Assistance,2014
3309,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-05-01,2018-09-30,14338615.25,72010,Material relief assistance and services,Humanitarian Assistance,2013
3310,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2015-10-01,2017-09-30,33144.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3311,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2014-09-30,402142.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
3312,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-10-01,2018-09-30,25938.56,72040,Emergency food aid,Humanitarian Assistance,2013
3313,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,1498209.0,2015-07-15,2017-09-30,9479.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
3314,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Implementation,0.0,2013-05-01,2018-09-30,11065629.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
3315,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,2000000.0,2015-10-01,2017-09-30,2000000.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3316,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-05-13,2017-09-30,10117113.0,72010,Material relief assistance and services,Humanitarian Assistance,2013
3317,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2017-09-30,4670.14999999999,72010,Material relief assistance and services,Humanitarian Assistance,2013
3318,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2013-10-01,2017-09-30,5387.1,72010,Material relief assistance and services,Humanitarian Assistance,2013
3319,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2014-09-30,250.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
3321,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2015-05-19,2016-09-30,550000.0,72050,Relief co-ordination; protection and support services,Humanitarian Assistance,2015
3322,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2015-10-01,2016-09-30,15874.0,72010,Material relief assistance and services,Humanitarian Assistance,2015
3323,U.S. Agency for International Development,Personal Services Contractors - USAID,Completion,0.0,2012-10-01,2016-09-30,1635.59999999999,74010,Disaster prevention and preparedness,Humanitarian Assistance,2012
3324,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2017-09-30,142288.359999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
3325,U.S. Agency for International Development,"Chemonics International, Inc.",Completion,0.0,2013-01-07,2017-09-30,6909065.34999999,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2013
3326,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-01,2017-09-30,37596.0,72010,Material relief assistance and services,Humanitarian Assistance,2012
3327,U.S. Agency for International Development,The vendor name has been redacted in accordance with the Principled Exceptions outlined in the Office of Management and Budget Bulletin 12-01.,Completion,0.0,2012-10-30,2017-09-30,221319.239999999,72010,Material relief assistance and services,Humanitarian Assistance,2012
3328,U.S. Agency for International Development,Enterprise - Non United States Unknown,Completion,0.0,2015-10-01,2016-09-30,4340.5,43010,Multisector aid,Education and Social Services,2015
3329,U.S. Agency for International Development,Dexis Consulting Group,Implementation,12333368.0,2014-10-01,2018-09-30,900729.28,15220,"Civilian peace-building, conflict prevention and resolution",Peace and Security,2014
3330,U.S. Department of State,CELESTAR CORPORATION,Completion ,6500000.0,2016-05-03,2018-05-02,400.0,43010,Multisector aid,Multi-sector,2016
3331,U.S. Agency for International Development,Première Urgence,Completion,3260000.0,2015-09-16,2017-09-30,1341022.86,72010,Material relief assistance and services,Humanitarian Assistance,2015
